ticker,price_date,close_price
JNJ,2017-05-12,122.05
JPM,2017-05-12,85.943
KO,2017-05-12,42.893
MSFT,2017-05-12,67.63
XOM,2017-05-12,81.008
AAPL,2017-05-15,154.53
JNJ,2017-05-15,125.35
JPM,2017-05-15,86.357
KO,2017-05-15,43.031
MSFT,2017-05-15,67.679
XOM,2017-05-15,81.253
AAPL,2017-05-16,154.31
JNJ,2017-05-16,126.13
JPM,2017-05-16,86.625
KO,2017-05-16,43.149
MSFT,2017-05-16,69.042
XOM,2017-05-16,81.008
AAPL,2017-05-17,149.12
JNJ,2017-05-17,125.04
JPM,2017-05-17,83.322
KO,2017-05-17,43.227
MSFT,2017-05-17,67.122
XOM,2017-05-17,80.458
AAPL,2017-05-18,151.4
JNJ,2017-05-18,125.33
JPM,2017-05-18,83.016
KO,2017-05-18,43.099
MSFT,2017-05-18,67.351
XOM,2017-05-18,80.223
AAPL,2017-05-19,151.91
JNJ,2017-05-19,125.36
JPM,2017-05-19,83.826
KO,2017-05-19,43.198
MSFT,2017-05-19,67.331
XOM,2017-05-19,80.399
AAPL,2017-05-22,152.84
JNJ,2017-05-22,125.62
JPM,2017-05-22,83.747
KO,2017-05-22,43.473
MSFT,2017-05-22,68.087
XOM,2017-05-22,80.753
AAPL,2017-05-23,152.65
JNJ,2017-05-23,125.88
JPM,2017-05-23,84.795
KO,2017-05-23,43.68
MSFT,2017-05-23,68.316
XOM,2017-05-23,81.037
AAPL,2017-05-24,152.19
JNJ,2017-05-24,125.87
JPM,2017-05-24,84.746
KO,2017-05-24,44.309
MSFT,2017-05-24,68.406
XOM,2017-05-24,80.753
AAPL,2017-05-25,152.72
JNJ,2017-05-25,126.72
JPM,2017-05-25,84.39
KO,2017-05-25,44.683
MSFT,2017-05-25,69.251
XOM,2017-05-25,80.223
AAPL,2017-05-26,152.46
JNJ,2017-05-26,126.12
JPM,2017-05-26,84.4
KO,2017-05-26,44.665
MSFT,2017-05-26,69.589
XOM,2017-05-26,80.026
AAPL,2017-05-30,152.52
JNJ,2017-05-30,126.31
JPM,2017-05-30,82.956
KO,2017-05-30,44.703
MSFT,2017-05-30,70.037
XOM,2017-05-30,79.584
AAPL,2017-05-31,151.61
JNJ,2017-05-31,127.44
JPM,2017-05-31,81.226
KO,2017-05-31,44.743
MSFT,2017-05-31,69.47
XOM,2017-05-31,78.996
AAPL,2017-06-01,152.03
JNJ,2017-06-01,127.97
JPM,2017-06-01,82.126
KO,2017-06-01,45.057
MSFT,2017-06-01,69.728
XOM,2017-06-01,79.192
AAPL,2017-06-02,154.29
JNJ,2017-06-02,129.26
JPM,2017-06-02,81.71
KO,2017-06-02,45.156
MSFT,2017-06-02,71.37
XOM,2017-06-02,78.015
AAPL,2017-06-05,152.78
JNJ,2017-06-05,129.54
JPM,2017-06-05,81.858
KO,2017-06-05,45.255
MSFT,2017-06-05,71.897
XOM,2017-06-05,78.623
AAPL,2017-06-06,153.3
JNJ,2017-06-06,130
JPM,2017-06-06,82.027
KO,2017-06-06,45.245
MSFT,2017-06-06,72.136
XOM,2017-06-06,79.692
AAPL,2017-06-07,154.21
JNJ,2017-06-07,129.92
JPM,2017-06-07,82.966
KO,2017-06-07,44.783
MSFT,2017-06-07,72.006
XOM,2017-06-07,79.398
AAPL,2017-06-08,153.83
JNJ,2017-06-08,129.72
JPM,2017-06-08,83.994
KO,2017-06-08,44.409
MSFT,2017-06-08,71.569
XOM,2017-06-08,79.114
AAPL,2017-06-09,147.87
JNJ,2017-06-09,130.7
JPM,2017-06-09,85.981
KO,2017-06-09,44.595
MSFT,2017-06-09,69.947
XOM,2017-06-09,80.596
AAPL,2017-06-12,144.33
JNJ,2017-06-12,130.99
JPM,2017-06-12,86.001
KO,2017-06-12,44.605
MSFT,2017-06-12,69.41
XOM,2017-06-12,81.381
AAPL,2017-06-13,145.5
JNJ,2017-06-13,131.19
JPM,2017-06-13,86.289
KO,2017-06-13,44.675
MSFT,2017-06-13,70.276
XOM,2017-06-13,81.411
AAPL,2017-06-14,144.07
JNJ,2017-06-14,131.93
JPM,2017-06-14,86.111
KO,2017-06-14,44.942
MSFT,2017-06-14,69.898
XOM,2017-06-14,80.537
AAPL,2017-06-15,143.22
JNJ,2017-06-15,132.2
JPM,2017-06-15,85.596
KO,2017-06-15,44.893
MSFT,2017-06-15,69.53
XOM,2017-06-15,80.723
AAPL,2017-06-16,141.2
JNJ,2017-06-16,133.5
JPM,2017-06-16,85.211
KO,2017-06-16,44.952
MSFT,2017-06-16,69.629
XOM,2017-06-16,81.931
AAPL,2017-06-19,145.25
JNJ,2017-06-19,133.22
JPM,2017-06-19,87.079
KO,2017-06-19,45.022
MSFT,2017-06-19,70.494
XOM,2017-06-19,81.214
AAPL,2017-06-20,143.92
JNJ,2017-06-20,133.37
JPM,2017-06-20,86.535
KO,2017-06-20,45.25
MSFT,2017-06-20,69.54
